A1;2.849964010304418,1.7676565272273639,1.305893685946729,0.7932701485390675,0.7043439814690508,0.37421419056668775,0.2650318066191716,0.20183921544322872,0.16266298426827566,0.13102308983089223,0.11047344046745068,0.09908873912437507,0.0912209085009589,0.08240053577220201,0.07478225147568594,0.07031039179616308,0.06585546621749892,0.06223167802467225,0.058862774845594566,0.055727014870493106,0.053303844708613914,0.05084782932918221,0.048668599566903496,0.04672960844815625,0.0449760578123453,0.04339706330799338,0.041900696451615566,0.0405951258427102,0.03933710085537865,0.03814221510032715,0.03708406861197563,0.036136959202384314,0.03521415113004685,0.034382305002619316,0.03359493516314996,0.03287278790020494,0.032198486591147546,0.031561136064580955,0.03097663848622427,0.03044772337906616,0.02990932011202471,0.0294513059153619,0.02903203771904921,0.028531509492787672,0.02827882075563425,0.02780460998971654,0.027541183119100775,0.027137196679989126,0.026924382529105343,0.026655621485300915,0.0264552707234337,0.02632770197096443,0.02603610786164496,0.025819692148700942,0.025656963841195826,0.025456963052485918,0.025364612003007072,0.025238581676865244,0.025290400924192755,0.025075567170017615,0.025101140846651937,0.025176698112456583,0.024993259845488718,0.02518963040781135,0.02466486788344109,0.02518963040781133,0.024993259845488718,0.02517669811245659,0.025101140846651934,0.02507556717001762,0.02529040092419276,0.025238581676865244,0.025364612003007072,0.025456963052485924,0.025656963841195816,0.025819692148700942,0.026036107861644973,0.02632770197096441,0.02645527072343371,0.026655621485300904,0.026924382529105343,0.027137196679989126,0.027541183119100792,0.02780460998971653,0.02827882075563425,0.028531509492787672,0.02903203771904922,0.02945130591536191,0.02990932011202471,0.030447723379066167,0.03097663848622426,0.031561136064580955,0.03219848659114755,0.03287278790020494,0.033594935163149944,0.03438230500261932,0.03521415113004685,0.03613695920238431,0.03708406861197563,0.03814221510032715,0.03933710085537864,0.040595125842710196,0.04190069645161555,0.04339706330799338,0.0449760578123453,0.04672960844815627,0.048668599566903496,0.05084782932918222,0.05330384470861391,0.055727014870493086,0.058862774845594566,0.062231678024672166,0.06585546621749892,0.07031039179616315,0.07478225147568593,0.08240053577220204,0.09122090850095894,0.09908873912437505,0.11047344046745063,0.13102308983089223,0.16266298426827566,0.20183921544322872,0.2650318066191716,0.37421419056668775,0.7043439814690509,0.7932701485390676,1.305893685946729,1.7676565272273639
A2;2.8808688459725214,1.9515670931182403,1.038937837322353,0.8715143064944435,0.42380370939019124,0.32913038470219147,0.23367055028668957,0.20957460143649911,0.14873045630831375,0.11864907620710431,0.11720018885117922,0.11213248218196975,0.09375023431194497,0.08368418687263496,0.07618607494136528,0.07094116936588035,0.06665044177406307,0.06302194268985392,0.05903487666931648,0.05619896423501946,0.05345184373078354,0.05120487762349497,0.04887575910876747,0.04693886973510638,0.04518099887823104,0.04360289131677409,0.0420874977960421,0.04071996476181441,0.03946532518136443,0.038302199098444914,0.03724225822447882,0.03626179192898383,0.035365497716931316,0.03450281836652719,0.03372393926211057,0.03297535864940375,0.03231561679232992,0.03168422889373372,0.031082086268990984,0.030524355649867302,0.029987991914545677,0.02953812021096414,0.029113084810901527,0.028644895460230226,0.028274890207699438,0.028006479232183527,0.027640028460209548,0.0273204669503393,0.0269379863152776,0.026795621151701338,0.026518344129527867,0.02643625744231273,0.026200018278252003,0.02594188749046813,0.02585003549619796,0.02546013437831314,0.025398585052223588,0.025447653862383592,0.0252033655252018,0.025132306342034234,0.025157481377904474,0.025194870629603728,0.025011808910384757,0.02500019763289443,0.02507808290678879,0.02500019763289442,0.025011808910384757,0.025194870629603745,0.025157481377904474,0.025132306342034227,0.0252033655252018,0.0254476538623836,0.025398585052223588,0.025460134378313137,0.02585003549619797,0.025941887490468128,0.02620001827825199,0.026436257442312736,0.02651834412952787,0.026795621151701348,0.0269379863152776,0.02732046695033929,0.02764002846020956,0.028006479232183537,0.02827489020769944,0.02864489546023022,0.029113084810901545,0.02953812021096413,0.029987991914545677,0.030524355649867295,0.031082086268990984,0.03168422889373373,0.03231561679232992,0.03297535864940375,0.03372393926211053,0.03450281836652719,0.035365497716931316,0.03626179192898383,0.03724225822447881,0.038302199098444914,0.03946532518136442,0.04071996476181441,0.042087497796042074,0.04360289131677408,0.04518099887823104,0.04693886973510638,0.04887575910876747,0.05120487762349499,0.05345184373078352,0.05619896423501942,0.05903487666931646,0.06302194268985385,0.06665044177406307,0.07094116936588044,0.07618607494136526,0.08368418687263497,0.09375023431194499,0.11213248218196975,0.11720018885117922,0.11864907620710428,0.14873045630831375,0.20957460143649911,0.2336705502866896,0.3291303847021915,0.42380370939019124,0.8715143064944436,1.038937837322353,1.9515670931182403
A3;0.4273351910470546,2.64732005615069,0.7069693906662952,0.5850451663091156,0.338506105109065,0.32583751724602167,0.28942231697684534,0.21000333070872693,0.10646742528960565,0.09883550168592614,0.07111018160264478,0.05631846004979701,0.05523852534293628,0.04517727121932075,0.04585490542777387,0.03820641585788965,0.03561345271782905,0.03377606193459641,0.03147237918727595,0.029834983649072368,0.028837433907268808,0.02679415425899662,0.02549029615727854,0.02447495738093036,0.02358633139725599,0.022723442296456384,0.021913438422431833,0.02121612442332748,0.02057443318344876,0.019939425145284857,0.019370005313556756,0.01886219198323366,0.018391281425931157,0.01792983655613387,0.01751209953543765,0.017144495237225135,0.01678246001949561,0.016446712995950834,0.016135862990923337,0.015804218233542753,0.015579547218679575,0.01531390627755008,0.015100077382690048,0.014945916946161436,0.014606970056393538,0.014523711829981197,0.014323529746038953,0.014115458371301893,0.013969953779931751,0.013831968026602916,0.013796101875240326,0.013684588609290935,0.013446075405410846,0.013391725284072183,0.013394144506061884,0.013334941041591157,0.013317241813509333,0.013065250681919344,0.013054632485648063,0.013156451393560975,0.013119868699966342,0.013269782125972775,0.013045377668063603,0.013085484397535678,0.012853162042025862,0.013085484397535653,0.0130453776680636,0.01326978212597278,0.013119868699966345,0.013156451393560975,0.013054632485648069,0.013065250681919327,0.013317241813509333,0.01333494104159115,0.013394144506061878,0.013391725284072174,0.013446075405410846,0.013684588609290931,0.01379610187524032,0.013831968026602895,0.013969953779931751,0.014115458371301902,0.014323529746038958,0.014523711829981191,0.014606970056393543,0.014945916946161441,0.015100077382690053,0.015313906277550082,0.015579547218679575,0.01580421823354275,0.016135862990923337,0.016446712995950828,0.016782460019495623,0.01714449523722513,0.017512099535437628,0.017929836556133862,0.018391281425931157,0.018862191983233644,0.019370005313556763,0.019939425145284854,0.02057443318344876,0.02121612442332747,0.021913438422431823,0.022723442296456384,0.02358633139725599,0.02447495738093037,0.025490296157278537,0.026794154258996613,0.02883743390726879,0.02983498364907235,0.03147237918727597,0.0337760619345964,0.03561345271782905,0.03820641585788967,0.04585490542777388,0.04517727121932073,0.05523852534293628,0.056318460049797,0.07111018160264476,0.09883550168592613,0.10646742528960565,0.21000333070872693,0.28942231697684534,0.3258375172460216,0.338506105109065,0.5850451663091156,0.7069693906662952,2.6473200561506904
A4;0.3214016618399784,2.5328035308408046,0.9275850186743708,1.016299992868792,0.30428798793773537,0.404770753181001,0.14640710667872242,0.13365445852809674,0.06288205797736962,0.13415815913042833,0.05450576924609076,0.04604350673311372,0.049903116001545886,0.03233392387132761,0.042290640034720106,0.024110511931755486,0.024772255097671503,0.018064399582051832,0.01698788155723175,0.015762666053227566,0.015151223493562032,0.014714617475831743,0.013768357370182008,0.013155063657298299,0.012488931417759815,0.012037321098262364,0.011829645703482999,0.011305635878434094,0.010861869089666024,0.010550504592809285,0.010256977018957671,0.009953517188718059,0.009674461837001132,0.009433138788219747,0.009225458765543025,0.009001182598431115,0.008817427084182546,0.008656493365717466,0.008471295297515329,0.008305970113190899,0.008181515624214344,0.008076556155006319,0.00791659919927417,0.00784089482464953,0.007670715525075269,0.00761516415735002,0.007497705458599269,0.007415046408097038,0.007431616994506256,0.007380765593591717,0.00723958145681806,0.007156370618621529,0.007150433424107118,0.007293629678711982,0.007068551943846745,0.007153203969516321,0.006899396238671345,0.006896230373224101,0.007097097875256017,0.007068193139822824,0.0070050817010319875,0.006968699480447097,0.006907634301373996,0.006935294713029468,0.007140060950969827,0.006935294713029433,0.006907634301373995,0.006968699480447105,0.007005081701031989,0.007068193139822832,0.007097097875256022,0.006896230373224106,0.006899396238671345,0.007153203969516323,0.007068551943846745,0.007293629678711988,0.007150433424107118,0.007156370618621529,0.007239581456818055,0.0073807655935917175,0.007431616994506256,0.007415046408097054,0.007497705458599272,0.0076151641573500165,0.007670715525075267,0.00784089482464953,0.007916599199274173,0.008076556155006324,0.008181515624214344,0.008305970113190895,0.008471295297515325,0.008656493365717461,0.008817427084182546,0.009001182598431122,0.00922545876554302,0.009433138788219747,0.009674461837001132,0.009953517188718057,0.010256977018957673,0.010550504592809288,0.01086186908966602,0.011305635878434098,0.011829645703482983,0.012037321098262358,0.012488931417759815,0.013155063657298294,0.013768357370182012,0.014714617475831769,0.015151223493562028,0.015762666053227542,0.016987881557231754,0.018064399582051797,0.024772255097671503,0.02411051193175553,0.04229064003472013,0.032333923871327594,0.049903116001545886,0.04604350673311374,0.054505769246090754,0.1341581591304283,0.06288205797736962,0.13365445852809674,0.14640710667872242,0.4047707531810011,0.30428798793773537,1.0162999928687924,0.9275850186743708,2.5328035308408046
A5;0.502197265625,0.6881367513501419,2.598320007403519,0.45947727506569336,0.3743827888860878,0.19510695548173007,0.15308462899528458,0.22160244992453676,0.11693690000825693,0.11572776931854521,0.0772731989715431,0.11533923485497694,0.06065364147139075,0.06452779721136948,0.05036210145649061,0.04553300581899261,0.0440330742236392,0.04233123569053656,0.03870469971544605,0.0368838488999582,0.034939827204749356,0.03330173471525233,0.031931683288674115,0.03062312911213751,0.02941308539605925,0.028362930625978215,0.027409129796340588,0.026483106361453308,0.025689846528938416,0.02488625139885252,0.024165822448099797,0.023517778584483257,0.022932107283358257,0.022366348130940458,0.021877197261180786,0.021372553319933544,0.02092918793403186,0.02051326136552457,0.020139316646639507,0.019763766268754458,0.019450391401474313,0.019149236228341488,0.018832667736869993,0.01856077965802798,0.018303719441536685,0.01806443713586628,0.0177579180563467,0.0177173050463809,0.01742674564592524,0.017265279255587886,0.01705007737726392,0.01697527400573404,0.01686030891542558,0.016928508673495712,0.016687659075230135,0.016362814596900633,0.0164814608504987,0.016423444890505113,0.016051419870010856,0.016349150041073315,0.016244578164200135,0.01648597023573664,0.01627752623365992,0.016155332335800108,0.016149060479525863,0.016155332335800115,0.016277526233659887,0.016485970235736645,0.016244578164200142,0.016349150041073308,0.01605141987001084,0.016423444890505103,0.0164814608504987,0.016362814596900633,0.01668765907523014,0.016928508673495712,0.016860308915425583,0.01697527400573404,0.017050077377263904,0.017265279255587882,0.01742674564592524,0.017717305046380895,0.01775791805634671,0.018064437135866276,0.018303719441536696,0.018560779658027975,0.018832667736870028,0.01914923622834149,0.019450391401474313,0.019763766268754448,0.020139316646639496,0.020513261365524563,0.02092918793403186,0.021372553319933547,0.02187719726118071,0.022366348130940458,0.022932107283358257,0.023517778584483267,0.024165822448099814,0.024886251398852515,0.0256898465289384,0.026483106361453308,0.027409129796340564,0.028362930625978215,0.02941308539605925,0.03062312911213753,0.03193168328867411,0.033301734715252315,0.03493982720474935,0.03688384889995818,0.038704699715446086,0.04233123569053658,0.0440330742236392,0.0455330058189926,0.05036210145649061,0.06452779721136948,0.06065364147139076,0.11533923485497696,0.07727319897154299,0.1157277693185452,0.11693690000825693,0.22160244992453673,0.1530846289952846,0.1951069554817301,0.3743827888860878,0.45947727506569336,2.598320007403519,0.6881367513501419
A6;0.559485073747306,0.381772507728488,0.30120242057574753,0.8395451357420187,0.5851237593096245,0.220069891212715,0.14446228872606276,0.189762753306553,0.08313538499252454,0.06937617294586322,0.05606915931334498,0.052863774403176855,0.046423668394076134,0.04240760011220223,0.039972553376414,0.03578822670406587,0.0328802356051389,0.030808402409805525,0.029185886814924532,0.027248088265851893,0.02589483285591667,0.02459640343465115,0.023510029595973876,0.022483050755578167,0.021585929548447066,0.020779465584694987,0.020006443913230754,0.019314617826985746,0.018691813431831832,0.018082575298578287,0.017514788182042527,0.017157802091763187,0.016646345749310933,0.016254154913466958,0.015871931641947504,0.015479589413514157,0.015165957853169267,0.014839381997742596,0.014554950249996043,0.01427438317026994,0.01403897228545959,0.01377913163674496,0.013563884891733144,0.013377695955119019,0.01324885529684041,0.013034067538517451,0.012898871660796831,0.012796208440360828,0.012701895394817777,0.012512319474637646,0.012377896853136734,0.012290832502438209,0.012228385648524694,0.012086226316132624,0.012106047699059692,0.011860033657149271,0.011984063744410526,0.011855736374966307,0.01169193567947273,0.011996447501997553,0.011991163339524808,0.011969763458009916,0.011711099417429883,0.01195903522048888,0.011605449106501436,0.011959035220488875,0.011711099417429887,0.011969763458009918,0.01199116333952481,0.01199644750199755,0.01169193567947273,0.011855736374966307,0.011984063744410526,0.01186003365714927,0.012106047699059694,0.012086226316132612,0.012228385648524688,0.01229083250243821,0.012377896853136734,0.012512319474637646,0.012701895394817777,0.012796208440360824,0.012898871660796833,0.013034067538517451,0.013248855296840417,0.013377695955119024,0.013563884891733137,0.013779131636744966,0.01403897228545959,0.014274383170269937,0.014554950249996043,0.01483938199774259,0.01516595785316926,0.015479589413514154,0.01587193164194751,0.01625415491346696,0.016646345749310933,0.017157802091763187,0.017514788182042527,0.01808257529857828,0.01869181343183183,0.01931461782698575,0.020006443913230757,0.02077946558469499,0.021585929548447066,0.022483050755578163,0.023510029595973876,0.024596403434651134,0.025894832855916643,0.027248088265851934,0.029185886814924525,0.030808402409805535,0.0328802356051389,0.03578822670406585,0.039972553376414,0.042407600112202216,0.04642366839407614,0.05286377440317684,0.05606915931334499,0.06937617294586321,0.08313538499252454,0.189762753306553,0.1444622887260628,0.22006989121271503,0.5851237593096245,0.8395451357420187,0.30120242057574753,0.3817725077284881
A1;2.923614151176365,1.6471911964377592,1.2543423413773191,0.7599400467267272,0.7238660376432778,0.4091378313432885,0.2790464699720943,0.20903339850328695,0.16806754764906948,0.13734008109690957,0.11445546181641561,0.10940521785687031,0.0979621306975638,0.0902336200575835,0.08279536079681303,0.07726350551310254,0.07267304224014384,0.06801994734257401,0.06448251538124782,0.061189554746190776,0.05836039157628385,0.055726554764723595,0.053372955353017774,0.05128028296241449,0.049378342596517,0.047632822775653824,0.04600689244829183,0.0445311929324306,0.04314987698914605,0.04191271305688664,0.040767638396190777,0.039675089197911906,0.03866757082046836,0.03776325310516305,0.036892070786390806,0.03611363436635532,0.03537820345489437,0.03465656496746104,0.034005984982453816,0.033387368963757234,0.03287596837878114,0.03231166213772592,0.03184085573276214,0.03140793925318918,0.030880910147205346,0.030610254491976036,0.030274845117755068,0.0298517012114717,0.02968729665267227,0.029219930066114178,0.028982774583021113,0.02873182026532048,0.028658229882551265,0.02846408922044338,0.028260158767544993,0.02787072452681013,0.027842213034831576,0.02781277270385195,0.027762505060155616,0.02749378493064078,0.02770094952084196,0.027395431799722158,0.027307274861030902,0.027642515758101144,0.027188706672054596,0.02764251575810114,0.027307274861030916,0.02739543179972218,0.027700949520841952,0.027493784930640794,0.027762505060155623,0.02781277270385194,0.027842213034831576,0.02787072452681013,0.02826015876754501,0.028464089220443384,0.028658229882551255,0.02873182026532048,0.028982774583021106,0.029219930066114164,0.02968729665267227,0.029851701211471696,0.030274845117755075,0.030610254491976015,0.030880910147205346,0.03140793925318918,0.031840855732762144,0.03231166213772592,0.03287596837878114,0.03338736896375725,0.0340059849824538,0.034656564967461036,0.03537820345489437,0.036113634366355334,0.03689207078639079,0.037763253105163035,0.03866757082046836,0.0396750891979119,0.04076763839619079,0.041912713056886645,0.04314987698914604,0.04453119293243061,0.04600689244829182,0.0476328227756538,0.049378342596517,0.0512802829624145,0.05337295535301778,0.05572655476472362,0.05836039157628385,0.061189554746190755,0.06448251538124782,0.06801994734257394,0.07267304224014384,0.07726350551310263,0.082795360796813,0.09023362005758351,0.09796213069756382,0.10940521785687031,0.11445546181641554,0.13734008109690957,0.16806754764906948,0.20903339850328695,0.2790464699720943,0.4091378313432884,0.7238660376432778,0.7599400467267272,1.2543423413773191,1.6471911964377592
A2;2.9289663029813218,1.977379207104186,1.058195498233968,0.7640117054438703,0.42602662940521113,0.34061898223092657,0.22821087145131005,0.2093045835506738,0.1539243299086179,0.13620151636886932,0.1313607111107821,0.10606709271129428,0.09304544335812233,0.08681167953446667,0.07858619091446746,0.07310967470106249,0.06865944449895514,0.06459068167312887,0.06100502592259348,0.05797047691838415,0.05510501246509446,0.05251406470933106,0.050353154259030405,0.048309566254064754,0.046493242021043296,0.044809863947562825,0.04331533056291344,0.041904087540452925,0.04061687208558742,0.039457826523199846,0.03832602979188743,0.037316325689620594,0.036401188477900435,0.03551726470311234,0.03470782210278863,0.0339408795343641,0.03323085644152309,0.03258478796894744,0.03200767988589922,0.03143429673887462,0.030918946203097614,0.030407486203101585,0.02995342449646138,0.029520777279153938,0.02913211608466396,0.02878596469534448,0.02838290264164521,0.028033256066709256,0.02775999179046833,0.027534766788364008,0.027307390883512413,0.026906943658522416,0.026715122482754285,0.02666012440268779,0.02655555948555603,0.026445104323459492,0.026161776990952207,0.02598512419943164,0.025781170465557394,0.025958192842682998,0.025935034651781527,0.02594602561566141,0.025967487121833267,0.025776600140578403,0.02580103380926724,0.025776600140578372,0.025967487121833284,0.02594602561566141,0.02593503465178153,0.025958192842682987,0.0257811704655574,0.025985124199431654,0.026161776990952207,0.026445104323459503,0.02655555948555604,0.02666012440268779,0.026715122482754285,0.0269069436585224,0.027307390883512403,0.027534766788363994,0.02775999179046833,0.028033256066709256,0.02838290264164521,0.02878596469534448,0.02913211608466396,0.029520777279153955,0.029953424496461382,0.030407486203101585,0.030918946203097614,0.03143429673887462,0.03200767988589921,0.03258478796894745,0.03323085644152309,0.033940879534364116,0.0347078221027886,0.035517264703112346,0.036401188477900435,0.0373163256896206,0.03832602979188744,0.03945782652319984,0.0406168720855874,0.04190408754045292,0.04331533056291342,0.04480986394756282,0.046493242021043296,0.048309566254064774,0.050353154259030385,0.05251406470933108,0.055105012465094444,0.05797047691838414,0.06100502592259348,0.0645906816731288,0.06865944449895514,0.07310967470106253,0.07858619091446743,0.08681167953446667,0.09304544335812233,0.10606709271129428,0.13136071111078204,0.13620151636886932,0.1539243299086179,0.20930458355067383,0.2282108714513101,0.34061898223092657,0.42602662940521113,0.7640117054438703,1.058195498233968,1.977379207104186
A3;0.5406708114448635,2.6564672604391775,0.6366888825278444,0.6817650592979022,0.30772462435338094,0.2701204589968406,0.30892440057396375,0.17567732231133174,0.10801642926609299,0.08632399531433427,0.06202465832477829,0.06445930355314869,0.047881957596795484,0.046475197923242374,0.04261166025031188,0.03879080006566149,0.03562502187645546,0.033335607145036326,0.03136184082380556,0.029148635528545942,0.02881297302327597,0.027008528555357767,0.02579718804301744,0.024750405184169832,0.023780152553931046,0.0228651180910421,0.022039586490094926,0.021341258455665528,0.02063049070152719,0.020041218165533572,0.019479685475516678,0.018932852029707327,0.018445708268253525,0.018024208737627685,0.017582283888396708,0.01717872326567677,0.016828312932530353,0.016497122145526028,0.016182397462127424,0.01588246999679704,0.015614431951894523,0.015346185925817565,0.015111407317819603,0.014932350199624854,0.014717667948728485,0.014515997220464429,0.014284394742917752,0.014129649471610752,0.014019431256067756,0.01389268299159145,0.013867754159144124,0.01365166239555369,0.013676736862132518,0.013535008615633743,0.013482202804128589,0.013473077856813504,0.01339727965126531,0.013148058319555525,0.013026870361075556,0.013392749754933948,0.01307331272424789,0.013019449334824833,0.012848520893325494,0.013046656914219436,0.013048544697377873,0.013046656914219423,0.012848520893325496,0.013019449334824837,0.01307331272424789,0.013392749754933942,0.013026870361075556,0.013148058319555525,0.01339727965126531,0.013473077856813502,0.01348220280412859,0.013535008615633757,0.013676736862132513,0.013651662395553698,0.013867754159144124,0.013892682991591434,0.014019431256067756,0.014129649471610729,0.014284394742917752,0.014515997220464427,0.01471766794872849,0.01493235019962485,0.015111407317819606,0.015346185925817577,0.015614431951894523,0.015882469996797034,0.016182397462127424,0.016497122145526028,0.01682831293253036,0.017178723265676772,0.017582283888396694,0.018024208737627695,0.018445708268253525,0.018932852029707323,0.01947968547551669,0.020041218165533562,0.02063049070152719,0.021341258455665542,0.022039586490094923,0.022865118091042087,0.023780152553931046,0.02475040518416982,0.02579718804301745,0.027008528555357784,0.028812973023275967,0.02914863552854594,0.03136184082380556,0.03333560714503632,0.03562502187645546,0.038790800065661483,0.04261166025031188,0.04647519792324237,0.047881957596795484,0.06445930355314869,0.062024658324778256,0.08632399531433427,0.10801642926609299,0.17567732231133168,0.30892440057396375,0.2701204589968405,0.30772462435338094,0.6817650592979022,0.6366888825278444,2.6564672604391775
A4;0.501324533045977,2.531185456068037,0.9380452738191191,0.9300408929411863,0.3826791726605992,0.3358924544334203,0.1861318819808757,0.12585890522978532,0.14114471284546437,0.08702824392802863,0.06628564228669757,0.07676286212042191,0.05877822633292708,0.06276460006472898,0.04234341516399597,0.03979569248833327,0.0330526494681165,0.030825464205280484,0.029371716858403705,0.0276360114685275,0.02630817041298861,0.025000991309855402,0.02373960083045585,0.02276743091035876,0.02189463649298595,0.021278223082434582,0.02029037994438498,0.0196263463112311,0.01896805682177215,0.018446416791902193,0.017904988030509415,0.01738162449741321,0.01692943597764391,0.016523409322472662,0.016134055607034622,0.015759722255829355,0.015422197903493586,0.01512508187922005,0.014829743621488227,0.01458351808369338,0.014353362439767786,0.014084853525470856,0.013880241942392955,0.01363371345534485,0.013469949085403214,0.013276752851449665,0.012961374623398894,0.012944164924089117,0.012691991977010108,0.012602689563715953,0.012675777897731711,0.012550964602047587,0.012607682129485202,0.012362755173065863,0.012334854716839958,0.012209701100606688,0.012162900750047992,0.012037230470076118,0.011912234828877193,0.012064914183451365,0.012138861903123592,0.01206995628808552,0.011983257048762467,0.012151667954068617,0.011845029633620689,0.012151667954068633,0.011983257048762467,0.01206995628808552,0.012138861903123587,0.012064914183451361,0.011912234828877192,0.012037230470076116,0.012162900750047992,0.012209701100606676,0.012334854716839963,0.012362755173065858,0.012607682129485197,0.012550964602047588,0.012675777897731716,0.012602689563715925,0.012691991977010108,0.012944164924089124,0.012961374623398894,0.013276752851449655,0.013469949085403218,0.013633713455344847,0.013880241942392957,0.014084853525470856,0.014353362439767786,0.01458351808369338,0.014829743621488221,0.01512508187922006,0.01542219790349359,0.01575972225582936,0.01613405560703461,0.016523409322472687,0.01692943597764391,0.017381624497413217,0.017904988030509418,0.018446416791902193,0.01896805682177214,0.019626346311231113,0.02029037994438497,0.021278223082434582,0.02189463649298595,0.022767430910358762,0.02373960083045585,0.025000991309855405,0.02630817041298861,0.027636011468527462,0.029371716858403705,0.030825464205280442,0.0330526494681165,0.03979569248833331,0.04234341516399596,0.06276460006472898,0.058778226332927085,0.0767628621204219,0.06628564228669759,0.08702824392802863,0.14114471284546437,0.1258589052297853,0.18613188198087577,0.33589245443342036,0.3826791726605992,0.9300408929411863,0.9380452738191191,2.531185456068037
